Time (s),Ay (m/s²),Fᵧ (N)
8.380000114440918,-4.763656139373779,0.8880809545516968
8.390000343322754,-4.819334983825684,0.8698825836181641
8.399999618530273,-4.886575698852539,0.8698825836181641
8.40999984741211,-4.998413562774658,0.8698825836181641
8.420000076293945,-5.1175150871276855,0.842585027217865
8.430000305175781,-5.2641472816467285,0.8243866562843323
8.4399995803833,-5.47727632522583,0.8061883449554443
8.449999809265137,-5.68484354019165,0.7697916030883789
8.460000038146973,-5.91344690322876,0.7242956757545471
8.470000267028809,-6.176486968994141,0.6787998080253601
8.479999542236328,-6.458374500274658,0.624204695224762
8.489999771118164,-6.810144424438477,0.5787087678909302
8.5,-7.106963634490967,0.5150145292282104
8.510000228881836,-7.46142053604126,0.46951860189437866
8.520000457763672,-7.812700271606445,0.3967251777648926
8.529999732971191,-8.198600769042969,0.33303090929985046
8.539999961853027,-8.561849594116211,0.26933664083480835
8.550000190734863,-8.967610359191895,0.20564237236976624
8.5600004196167,-9.309917449951172,0.1237497478723526
8.569999694824219,-9.71738338470459,0.06915466487407684
8.579999923706055,-10.120634078979492,-0.01273796521127224
8.59000015258789,-10.51344108581543,-0.0764322280883789
8.600000381469727,-10.860539436340332,-0.14922566711902618
8.609999656677246,-11.223920822143555,-0.2129199504852295
8.619999885559082,-11.625636100769043,-0.2766141891479492
8.630000114440918,-11.982965469360352,-0.3494076430797577
8.640000343322754,-12.330739974975586,-0.4131019115447998
8.649999618530273,-12.6611328125,-0.4767961800098419
8.65999984741211,-12.944231033325195,-0.5222920775413513
8.670000076293945,-13.259970664978027,-0.5768871903419495
8.680000305175781,-13.591233253479004,-0.6314822435379028
8.6899995803833,-13.897005081176758,-0.686077356338501
8.699999809265137,-14.118326187133789,-0.7224740982055664
8.710000038146973,-14.337615966796875,-0.7679699659347534
8.720000267028809,-14.548377990722656,-0.8043667078018188
8.729999542236328,-14.688220977783203,-0.8316642642021179
8.739999771118164,-14.78273868560791,-0.8498626351356506
8.75,-14.854776382446289,-0.858961820602417
8.760000228881836,-14.883872985839844,-0.8771601319313049
8.770000457763672,-14.888056755065918,-0.8771601319313049
8.779999732971191,-14.836655616760254,-0.8862593173980713
8.789999961853027,-14.7705078125,-0.8771601319313049
8.800000190734863,-14.675878524780273,-0.8680609464645386
8.8100004196167,-14.546341896057129,-0.8498626351356506
8.819999694824219,-14.375571250915527,-0.8316642642021179
